,BILL_AMT1,SEX,BILL_AMT6,PAY_3,PAY_5,PAY_AMT3,PAY_6,AGE,BILL_AMT2,MARRIAGE,PAY_AMT5,PAY_AMT4,PAY_AMT6,BILL_AMT4,BILL_AMT3,LIMIT_BAL,BILL_AMT5,PAY_4,PAY_0,PAY_2,EDUCATION,PAY_AMT2,PAY_AMT1,ks,ks_validation1,c
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011937766417144369
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014251026703029977
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08307959103297392,0.0,0.0,0.0,0.0,0.37167472685601843,0.37167472685601843,0.00017012542798525892
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20245864366395358,0.0,0.0,0.0,0.0,0.37167472685601843,0.37167472685601843,0.0002030917620904735
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30592596402545263,0.0,0.0,0.0,0.0,0.37167472685601843,0.37167472685601843,0.00024244620170823283
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3966328887527537,0.0,0.0,0.0,0.0,0.37167472685601843,0.37167472685601843,0.0002894266124716752
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4767160596210791,0.0,0.0,0.0,0.0,0.37167472685601843,0.37167472685601843,0.0003455107294592218
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5473029360327337,0.0,0.0,0.0,0.0,0.37167472685601843,0.37167472685601843,0.0004124626382901352
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6095293324570904,0.0,0.0,0.0,0.0,0.37167472685601843,0.37167472685601843,0.0004923882631706741
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6641508254127628,0.0,0.0,0.0,0.0,0.37167472685601843,0.37167472685601843,0.0005878016072274912
11,0.0,0.0,0.0,0.0028613689806133804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7002445992025127,0.020759337029653796,0.0,0.0,0.0,0.38789409713031253,0.38789409713031253,0.000701703828670383
12,0.0,0.0,0.0,0.07565337750041295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7170641056996706,0.024842545164801798,0.0,0.0,0.0,0.38789409713031253,0.38789409713031253,0.0008376776400682924
13,0.0,0.0,0.0,0.11508131515772461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026736968691601682,0.7263114584757238,0.04233584980197621,0.0,0.0,0.0,0.3922070801495817,0.3922070801495817,0.001
14,0.0,0.0,0.0,0.12948692641650347,0.026774920720501322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06129796314972523,0.7294798521609656,0.05895190723609879,0.0,0.0,0.0,0.40156600175909335,0.40156600175909335,0.001193776641714437
15,0.0,0.0,0.0,0.14725660911106483,0.05762174840964092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06434387995031218,0.0,0.08075507906271383,0.7332893480072205,0.06405465580661794,0.0,0.0,0.0,0.4064663554043515,0.4064663554043515,0.0014251026703029992
16,0.0,0.0,0.0,0.15254211577616847,0.09758001310984589,0.0,0.0022935065045438453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128496197475012,0.0,0.08641702370280836,0.7379482628096273,0.05664447252808455,0.0,0.054745353926388476,0.03900656541341201,0.4111065756099011,0.4111065756099011,0.0017012542798525892
17,0.0,0.0,0.0,0.15300353044432835,0.09944609402382573,0.0,0.030557402897868353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1766941536270246,0.0,0.11017388498860743,0.734428325917599,0.05325579095778858,0.0,0.10532013681052071,0.08114461991041007,0.4119768345792804,0.4119768345792804,0.002030917620904735
18,0.0,0.0,0.0,0.16083297851300807,0.12396329007179983,0.05676747803132989,0.048094275008997565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21734226299212192,0.0,0.1005749093162964,0.7320308141511795,0.05638239106794537,0.0,0.12208069586816195,0.10708499085746527,0.41248061576317313,0.41248061576317313,0.0024244620170823282
19,0.0,0.0,0.0,0.1601024320858561,0.11470697678271405,0.08416287384222602,0.08766641817347534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25091057750936857,0.0,0.1181180580306728,0.7347855515963065,0.047466128024901896,0.0,0.15715137431844886,0.13336744298243247,0.41118939107568164,0.41118939107568164,0.0028942661247167516
20,0.0,0.0,0.0,0.14722290054404893,0.13760651988021558,0.12885657010250884,0.10388245345690374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27737858129720394,0.0,0.11799992030198703,0.7288802973723132,0.06163827810714108,0.0,0.19110644231617518,0.13834470622338502,0.4113687987856621,0.4113687987856621,0.003455107294592218
21,0.0,0.0,0.0,0.1692934138978548,0.15986826149246877,0.17506060208995375,0.1095883218717532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3044822894487522,0.0,0.10103441769157274,0.7304169631882034,0.056538116068362586,0.0,0.19204908914765223,0.15688987933439044,0.41148830072880704,0.41148830072880704,0.004124626382901352
22,0.0,0.0,0.0,0.1550022951328373,0.1539280368927234,0.1855375490764805,0.13413883859784378,0.0,0.0,0.0,0.0,0.023557954767183142,0.0,0.0,0.0,0.3216315738650834,0.0,0.11502204491140575,0.7306986372820116,0.06559179549778629,0.0,0.21602959230562227,0.16080003748162353,0.4116721201037872,0.4116721201037872,0.004923882631706742
23,0.0,0.0,0.0,0.16133702806186428,0.13397366189799456,0.17767136211868384,0.15128437035785966,0.0,0.0,0.0,0.0,0.05994009110948255,0.009411355469165907,0.0,0.0,0.33623629846886044,0.0,0.13696354227428334,0.7320816181156896,0.05925674580860247,0.0,0.2235836089527793,0.17151012751622646,0.4108267831717735,0.4108267831717735,0.0058780160722749115
24,0.0,0.0,0.0,0.19757955800187557,0.1884744218576292,0.22773494531231578,0.14488927773053828,0.0,0.0,0.0,0.0,0.040689796201444126,0.030678682835400744,0.0,0.0,0.3526435555541205,0.0,0.09018161052571608,0.7357893202583715,0.03989618227061871,0.0,0.20024764847705828,0.19393835449925068,0.4110283266043832,0.4110283266043832,0.00701703828670383
25,0.0,0.0,0.0,0.1623222775966944,0.1643013733691048,0.22395456639964328,0.16196664490637194,0.0,0.0,0.0,0.0,0.06780212753197569,0.04542867505489723,0.0,0.0,0.35957097095033747,0.0,0.12076130750732002,0.733385763052394,0.06023456053245266,0.0,0.2361892796392621,0.17832235666318055,0.41106671582964227,0.41106671582964227,0.008376776400682925
26,0.0,0.0,0.0,0.15643460180243934,0.14013228553736556,0.21450955723255996,0.18314715049152053,0.0,0.0,0.0,0.0,0.09858073706414465,0.05365887923052428,0.0,0.0,0.3647176535156351,0.0,0.13933664268102117,0.7344048793721496,0.06436763976563509,0.0,0.23478561273702842,0.17926365613960704,0.4103622425870871,0.4103622425870871,0.01
27,0.0,0.0,0.0,0.16635364481430054,0.15994735788342873,0.2201677805038929,0.17646279806366408,0.0,0.0,0.0,0.02198654077644816,0.0907055304711588,0.06596165186633593,0.0,0.0,0.37265227606288026,0.0,0.13202753424587396,0.7345350150912634,0.06131596697428349,0.0,0.23872230188834756,0.18816433467613528,0.41074481907994037,0.41074481907994037,0.01193776641714437
28,0.0,0.0,0.0,0.17346410944232113,0.16933937083184267,0.23911338784780178,0.17980813544608928,0.0,0.0,0.0,0.029286636434557103,0.09173092207243858,0.07382305907403618,0.0,0.0,0.3786790482948734,0.0,0.12665721853723683,0.7351607629249268,0.06190130003172878,0.0,0.23043235909025633,0.1890412738967952,0.4107822795336204,0.4107822795336204,0.014251026703029992
29,0.0,0.0,0.0,0.16777968433953935,0.16919266722842385,0.23972390958294135,0.18350249226739712,0.0,0.0,0.0,0.03695144915137143,0.09720799929802929,0.08492007018756578,0.0,0.0,0.38301354856501313,0.0,0.13125209692242376,0.7329578376935904,0.06279843237601056,0.0,0.23596018103776514,0.18558114956702876,0.4105593743546973,0.4105593743546973,0.017012542798525893
30,0.0,0.0,0.0,0.20506812987790932,0.17394151295251084,0.2485684562953671,0.18749088951867104,0.0,0.0,0.0,0.04134041638581792,0.10264356953247536,0.0850952610462131,0.0,0.0,0.3888583358925193,0.0,0.10720903168764873,0.7407482479963757,0.04148956156360123,0.0,0.2101239387249615,0.2162280317712332,0.4106273294752162,0.4106273294752162,0.020309176209047368
31,0.0,0.0,0.0,0.17386042858215608,0.16345196487195537,0.22966076837010596,0.19362417949555308,0.0,0.0,0.04439853302827888,0.04710991003689762,0.11394792528090096,0.09078680421458461,0.0,0.0,0.3891097562677228,0.0,0.14311815957649793,0.7370523119713056,0.057104067587284306,0.0,0.2442610760895083,0.19935067535862858,0.411014317633069,0.411014317633069,0.024244620170823284
32,0.0,0.08654918552385116,0.0,0.17536261255845367,0.16696685207729264,0.2304555147203191,0.19284036741674285,0.0,0.0,0.2317053894845097,0.045328903918905754,0.11419494110487063,0.09993839291301303,0.0,-0.03296910662225221,0.3959585118581768,0.0,0.13998688942807072,0.7377193659445904,0.0533798868297403,0.016726238212102368,0.23793855774490735,0.20622029377037523,0.41132715885987714,0.41132715885987714,0.028942661247167517
33,0.0,0.1948307258889762,0.0,0.20899890281687414,0.16910500043686733,0.2590385951278655,0.2048133362482802,0.0,0.0,0.38046426027143615,0.05818022365379264,0.11831834922525433,0.096914995156091,0.0,-0.10590999954853184,0.39926087062813026,0.0,0.11220118597393175,0.7383243385833427,0.04321896512388162,0.04716301764196435,0.2097580672570972,0.21942056360796627,0.4115884532640593,0.4115884532640593,0.03455107294592222
34,0.0,0.28599323891928047,0.0,0.19331091046246096,0.15706483907089613,0.2250138698475357,0.20365562822113936,0.0,0.0,0.5101907217740274,0.061185122596794525,0.1326565021699562,0.10293334097402655,0.0,-0.17318189150362204,0.4045938213632642,0.0,0.14442756597105336,0.7420286223438648,0.035404726579098746,0.06437404192812414,0.23477275122493405,0.2241003419203907,0.4124293011334419,0.4124293011334419,0.04124626382901352
35,0.0,0.3603653034323786,0.0,0.2106210208519872,0.19356884002526917,0.26230892438721826,0.19439354511878487,0.0,0.0,0.6145036849098972,0.06560269935408172,0.1147530638376464,0.10782578966646747,0.0,-0.2284964187099562,0.4047584782834556,0.021938955730931728,0.10738931545926717,0.7404081549360442,0.03472440206937181,0.08447788164979124,0.21351586678814355,0.23276128654750658,0.4118560168763988,0.4118560168763988,0.04923882631706741
36,0.0,0.42183000173854723,0.0,0.18565672164221855,0.1582646533581182,0.24900839880176584,0.21948404002622607,0.0,0.0,0.7108398786020834,0.04758129897353971,0.14130167777613006,0.1014067752018382,0.0,-0.2913792711609675,0.41122722392270883,0.050532627955077375,0.13392516811660404,0.7429886009370631,0.042881063441453954,0.09538657185281997,0.24346186312008836,0.21689561485777858,0.41241327982370674,0.41241327982370674,0.05878016072274912
37,0.0,0.47294167214643956,0.0,0.1727008920025185,0.1605835309827123,0.2476221373986179,0.2110585216185584,0.0006814852733741148,0.0,0.7827002831431522,0.05976460454661513,0.1382098634267691,0.102446766077331,0.024128709953729132,-0.351679740144901,0.4105335655635079,0.07302415548539724,0.14374438825920813,0.7362286283404267,0.052769121626475624,0.10862765163559274,0.2568468379004649,0.21397108314693408,0.4129438405881229,0.4129438405881229,0.07017038286703829
38,-0.011609368143637205,0.517251388880368,0.0,0.1665398327137668,0.16457473223481267,0.24957269492838835,0.21129956505781858,0.04380107829993951,0.0,0.8391385225205524,0.060954697486015334,0.1287006795482981,0.10752265905078749,0.04607611481020466,-0.3989085555686283,0.410345530219885,0.09343443772472222,0.14462530528761217,0.7343947334875279,0.05705601867597499,0.11750679710558394,0.26473269678034034,0.20977705574429084,0.413543981823321,0.413543981823321,0.08376776400682924
39,-0.04834458508141711,0.5555926368218049,0.0,0.1936916732769268,0.1533328227188508,0.24155562291501667,0.2279221820845834,0.07950162656451143,0.0,0.8916937505000306,0.04795302404050002,0.1442034303976541,0.10789310613439955,0.07825140891422443,-0.4314256146940704,0.41361489006016966,0.10193037879138851,0.1401941201545946,0.7416949084398539,0.0333004717337724,0.12349659795843379,0.23975513928777314,0.24561695556020688,0.412818224232084,0.412818224232084,0.1
